country,date,Population,NewCases,TotalCases,NewDeaths,TotalDeaths,lat,long
Mexico_2020,12/19,127576000,12129,1313675,627,117876,23.6345,-102.5528
Mexico_2020,12/20,127576000,6870,1320545,326,118202,23.6345,-102.5528
Mexico_2020,12/21,127576000,5370,1325915,396,118598,23.6345,-102.5528
Mexico_2020,12/22,127576000,12511,1338426,897,119495,23.6345,-102.5528
Mexico_2020,12/23,127576000,11653,1350079,816,120311,23.6345,-102.5528
Mexico_2020,12/24,127576000,12485,1362564,861,121172,23.6345,-102.5528
Mexico_2020,12/25,127576000,9679,1372243,665,121837,23.6345,-102.5528
Mexico_2020,12/26,127576000,4974,1377217,189,122026,23.6345,-102.5528
Mexico_2020,12/27,127576000,6217,1383434,400,122426,23.6345,-102.5528
Mexico_2020,12/28,127576000,5996,1389430,429,122855,23.6345,-102.5528
Mexico_2020,12/29,127576000,12099,1401529,990,123845,23.6345,-102.5528
Mexico_2020,12/30,127576000,12406,1413935,1052,124897,23.6345,-102.5528
Mexico_2020,12/31,127576000,12159,1426094,910,125807,23.6345,-102.5528
Mexico_2021,1/1,127576000,11091,1437185,700,126507,23.6345,-102.5528
Mexico_2021,1/2,127576000,6359,1443544,344,126851,23.6345,-102.5528
Mexico_2021,1/3,127576000,5211,1448755,362,127213,23.6345,-102.5528
Mexico_2021,1/4,127576000,6464,1455219,544,127757,23.6345,-102.5528
Mexico_2021,1/5,127576000,11271,1466490,1065,128822,23.6345,-102.5528
Mexico_2021,1/6,127576000,13345,1479835,1165,129987,23.6345,-102.5528
Mexico_2021,1/7,127576000,13734,1493569,1044,131031,23.6345,-102.5528
Mexico_2021,1/8,127576000,14362,1507931,1038,132069,23.6345,-102.5528
Mexico_2021,1/9,127576000,16105,1524036,1135,133204,23.6345,-102.5528
Mexico_2021,1/10,127576000,10003,1534039,502,133706,23.6345,-102.5528
Mexico_2021,1/11,127576000,7594,1541633,662,134368,23.6345,-102.5528
Mexico_2021,1/12,127576000,14395,1556028,1314,135682,23.6345,-102.5528
Mexico_2021,1/13,127576000,15873,1571901,1235,136917,23.6345,-102.5528
Mexico_2021,1/14,127576000,16468,1588369,999,137916,23.6345,-102.5528
Mexico_2021,1/15,127576000,21366,1609735,1106,139022,23.6345,-102.5528
Mexico_2021,1/16,127576000,20523,1630258,1219,140241,23.6345,-102.5528
Mexico_2021,1/17,127576000,11170,1641428,463,140704,23.6345,-102.5528
Mexico_2021,1/18,127576000,8074,1649502,544,141248,23.6345,-102.5528
Mexico_2021,1/19,127576000,18894,1668396,1584,142832,23.6345,-102.5528
Mexico_2021,1/20,127576000,20548,1688944,1539,144371,23.6345,-102.5528
Mexico_2021,1/21,127576000,22339,1711283,1803,146174,23.6345,-102.5528
Mexico_2021,1/22,127576000,21007,1732290,1440,147614,23.6345,-102.5528
